James,Butt,6649 N Blue Gum St,New Orleans,Orleans,LA,1956-02-15,70116,504-621-8927,504-845-1427,jbutt@gmail.com,http://www.bentonjohnbjr.com,gmail.com,64
Josephine,Darakjy,4 B Blue Ridge Blvd,Brighton,Livingston,MI,1988-07-15,48116,810-292-9388,810-374-9840,josephine_darakjy@darakjy.org,http://www.chanayjeffreyaesq.com,darakjy.org,31
Art,Venere,8 W Cerritos Ave #54,Bridgeport,Gloucester,NJ,1988-03-10,8014,856-636-8749,856-264-4130,art@venere.org,http://www.chemeljameslcpa.com,venere.org,32
Lenna,Paprocki,639 Main St,Anchorage,Anchorage,AK,1991-09-11,99501,907-385-4412,907-921-2010,lpaprocki@hotmail.com,http://www.feltzprintingservice.com,hotmail.com,28
Donette,Foller,34 Center St,Hamilton,Butler,OH,1955-06-01,45011,513-570-1893,513-549-4561,donette.foller@cox.net,http://www.printingdimensions.com,cox.net,64
Simona,Morasca,3 Mcauley Dr,Ashland,Ashland,OH,1995-01-26,44805,419-503-2484,419-800-6759,simona@morasca.com,http://www.chapmanrosseesq.com,morasca.com,25
Mitsue,Tollner,7 Eads St,Chicago,Cook,IL,1970-08-27,60632,773-573-6914,773-924-8565,mitsue_tollner@yahoo.com,http://www.morlongassociates.com,yahoo.com,49
Leota,Dilliard,7 W Jackson Blvd,San Jose,Santa Clara,CA,1981-07-03,95111,408-752-3500,408-813-1105,leota@hotmail.com,http://www.commercialpress.com,hotmail.com,38
Sage,Wieser,5 Boston Ave #88,Sioux Falls,Minnehaha,SD,1959-05-11,57105,605-414-2147,605-794-4895,sage_wieser@cox.net,http://www.truhlarandtruhlarattys.com,cox.net,60
Kris,Marrier,228 Runamuck Pl #2808,Baltimore,Baltimore City,MD,1983-12-19,21224,410-655-8723,410-804-4694,kris@gmail.com,http://www.kingchristopheraesq.com,gmail.com,36
Minna,Amigon,2371 Jerrold Ave,Kulpsville,Montgomery,PA,1985-01-22,19443,215-874-1229,215-422-8694,minna_amigon@yahoo.com,http://www.dorljamesjesq.com,yahoo.com,35
Abel,Maclead,37275 St  Rt 17m M,Middle Island,Suffolk,NY,2000-05-13,11953,631-335-3414,631-677-3675,amaclead@gmail.com,http://www.rangoniofflorence.com,gmail.com,19
Kiley,Caldarera,25 E 75th St #69,Los Angeles,Los Angeles,CA,1992-02-19,90034,310-498-5651,310-254-3084,kiley.caldarera@aol.com,http://www.feinerbros.com,aol.com,28
Graciela,Ruta,98 Connecticut Ave Nw,Chagrin Falls,Geauga,OH,1985-06-24,44023,440-780-8425,440-579-7763,gruta@cox.net,http://www.buckleymillerwright.com,cox.net,34
Cammy,Albares,56 E Morehead St,Laredo,Webb,TX,1995-04-27,78045,956-537-6195,956-841-7216,calbares@gmail.com,http://www.rousseauxmichaelesq.com,gmail.com,25
Mattie,Poquette,73 State Road 434 E,Phoenix,Maricopa,AZ,1987-09-02,85013,602-277-4385,602-953-6360,mattie@aol.com,http://www.centurycommunications.com,aol.com,32
Meaghan,Garufi,69734 E Carrillo St,Mc Minnville,Warren,TN,1998-09-12,37110,931-313-9635,931-235-7959,meaghan@hotmail.com,http://www.boltonwilburesq.com,hotmail.com,21
